INSTALATION_1,year,saifi_num,saidi_num,customers,n_events,SAIFI,SAIDI
HARDY EX LANGATA,2022,34924,100706.35,2561,14,13.6369,39.32
HARDY EX LANGATA,2023,64439,194832.76666666655,2807,24,22.9565,69.41
HARDY EX LANGATA,2024,94052,372418.0333333333,2958,33,31.7958,125.9
HARDY EX LANGATA,2025,104178,298293.4,3000,35,34.726,99.43
HARDY EX LANGATA,2026,45363,73125.36666666667,3056,15,14.8439,23.93
KAREN HOSPITAL EX LANGATA,2022,6458,26596.850000000028,1049,7,6.1563,25.35
KAREN HOSPITAL EX LANGATA,2023,12713,30329.1,1076,12,11.8151,28.19
KAREN HOSPITAL EX LANGATA,2024,20380,56216.71666666667,1188,18,17.1549,47.32
KAREN HOSPITAL EX LANGATA,2025,25163,80712.08333333333,1206,25,20.8648,66.93
KAREN HOSPITAL EX LANGATA,2026,3327,6895.85,1133,3,2.9365,6.09
KUWINDA EX LANGATA,2022,19048,26200.883333333364,1922,10,9.9105,13.63
KUWINDA EX LANGATA,2023,62395,67032.11666666665,1991,32,31.3385,33.67
KUWINDA EX LANGATA,2024,57415,147543.86666666667,2393,28,23.9929,61.66
KUWINDA EX LANGATA,2025,36229,62887.350000000006,2155,18,16.8116,29.18
KUWINDA EX LANGATA,2026,18070,65689.01666666668,1819,10,9.934,36.11
MAGADI  EX LANGATA,2022,122540,386679.3333333334,5212,24,23.5111,74.19
MAGADI  EX LANGATA,2023,141914,271872.44999999995,5343,27,26.5607,50.88
MAGADI  EX LANGATA,2024,209160,487320.55000000005,5871,37,35.626,83.0
MAGADI  EX LANGATA,2025,301330,928567.1666666665,6310,51,47.7544,147.16
MAGADI  EX LANGATA,2026,85038,427278.2833333341,6841,13,12.4306,62.46
NDALATI EX LANGATA,2022,4214,8812.20000000001,724,6,5.8204,12.17
NDALATI EX LANGATA,2023,24750,51761.68333333331,796,33,31.093,65.03
NDALATI EX LANGATA,2024,28777,77771.58333333333,925,34,31.1103,84.08
NDALATI EX LANGATA,2025,15100,45808.76666666667,988,16,15.2834,46.37
NDALATI EX LANGATA,2026,7943,8864.316666666666,1008,8,7.88,8.79
NGEI EX LANGATA,2022,165648,337398.26666666666,11953,14,13.8583,28.23
NGEI EX LANGATA,2023,252171,548538.8666666668,12066,21,20.8993,45.46
NGEI EX LANGATA,2024,352055,1036309.1333333331,12297,29,28.6293,84.27
NGEI EX LANGATA,2025,288838,367447.35,12796,23,22.5725,28.72
NGEI EX LANGATA,2026,153627,380900.3333333334,12860,12,11.9461,29.62
OTIENDE EX LANGATA,2022,208,1379.73333333333,208,1,1.0,6.63
OTIENDE EX LANGATA,2024,486,28.24999999999997,245,2,1.9837,0.12
OTIENDE EX LANGATA,2025,597,1992.15,243,3,2.4568,8.2
OTIENDE EX LANGATA,2026,354,1687.4,177,2,2.0,9.53
SOWETO EX LANGATA,2022,1187064,2580444.2333333334,33290,36,35.6583,77.51
SOWETO EX LANGATA,2023,2031165,6262464.966666668,33331,61,60.9392,187.89
SOWETO EX LANGATA,2024,2155409,3922536.150000002,33331,65,64.6668,117.68
SOWETO EX LANGATA,2025,2968054,9788231.299999999,32702,98,90.7606,299.32
SOWETO EX LANGATA,2026,1102820,2021299.9666666663,27892,40,39.5389,72.47
