feature,importance
feeder_outage_rate,0.1450042
n_secondary_subs,0.107365415
max_demand_kva,0.08898818
storm_index,0.08529681
bbox_area_km2,0.07769044
days_since_holiday,0.0693003
day_of_week,0.068513826
total_length_km,0.05748353
dow_sin,0.05743414
day_of_year,0.05590096
days_since_last_outage,0.054653224
year,0.044461064
precipitation_sum,0.042967297
consecutive_clean_days,0.041345615
rain_season_interaction,0.038788844
wind_speed_10m_max,0.035219416
affected_customers,0.032956347
outages_last_30d,0.031591937
outages_last_7d,0.026896719
demand_risk_score,0.024842704
wind_gusts_10m_max,0.022739531
month_sin,0.014706582
et0_fao_evapotranspiration,0.0144679025
month_cos,0.014277676
duration_last_7d_hrs,0.013969522
month,0.012803675
n_switches,0.010867158
overdue_pressure,0.010646682
days_to_next_holiday,0.009671226
is_weekend,0.007470455
feeder_id,0.0067498754
length_x_outage_rate,0.005171868
dow_cos,0.0034772973
is_public_holiday,0.0030697952
avg_segment_m,0.00267693
high_wind_day,0.0020474014
is_long_weekend,0.00200319
season_long_dry,0.0017710765
season_long_rains,0.00095164264
heavy_rain_day,0.0004934355
season_short_dry,0.0
season_short_rains,0.0
